disaster,uid,sample_dir,pre_path,post_path,target_path,label_path
guatemala-volcano,00000000,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000000,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000000/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000000/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000000/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000000/label.json
guatemala-volcano,00000001,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000001,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000001/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000001/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000001/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000001/label.json
guatemala-volcano,00000002,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000002,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000002/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000002/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000002/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000002/label.json
guatemala-volcano,00000006,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000006,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000006/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000006/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000006/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000006/label.json
guatemala-volcano,00000007,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000007,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000007/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000007/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000007/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000007/label.json
guatemala-volcano,00000008,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000008,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000008/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000008/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000008/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000008/label.json
guatemala-volcano,00000010,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000010,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000010/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000010/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000010/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000010/label.json
guatemala-volcano,00000013,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000013,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000013/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000013/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000013/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000013/label.json
guatemala-volcano,00000015,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000015,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000015/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000015/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000015/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000015/label.json
guatemala-volcano,00000016,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000016,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000016/pre.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000016/post.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000016/target.png,/home/prosper/Desktop/Python/Projects/Project_019_ResQVision/service/data/processed/train/guatemala-volcano/00000016/label.json
